,Số phòng ngủ,Diện tích,Giá/m2
63,9 phòng,77 m²,"2,08 triệu/m²"
64,4 phòng,34 m²,"120,59 triệu/m²"
65,3 phòng,27 m²,"72,22 triệu/m²"
66,3 phòng,34 m²,"104,41 triệu/m²"
67,4 phòng,40 m²,65 triệu/m²
68,4 phòng,30 m²,"82,67 triệu/m²"
69,3 phòng,35 m²,"114,29 triệu/m²"
70,2 phòng,18 m²,"105,56 triệu/m²"
71,5 phòng,33 m²,"136,36 triệu/m²"
72,2 phòng,60 m²,225 triệu/m²
73,4 phòng,30 m²,75 triệu/m²
74,3 phòng,32 m²,"81,25 triệu/m²"
75,4 phòng,40 m²,"77,5 triệu/m²"
76,3 phòng,32 m²,"89,06 triệu/m²"
77,3 phòng,81 m²,"39,51 triệu/m²"
78,3 phòng,20 m²,"97,5 triệu/m²"
79,4 phòng,54 m²,"101,85 triệu/m²"
80,4 phòng,60 m²,"109,17 triệu/m²"
81,5 phòng,40 m²,"68,75 triệu/m²"
82,3 phòng,45 m²,"133,33 triệu/m²"
83,3 phòng,40 m²,"36,25 triệu/m²"
84,3 phòng,28 m²,70 triệu/m²
85,3 phòng,28 m²,100 triệu/m²
86,3 phòng,40 m²,"136,25 triệu/m²"
87,5 phòng,42 m²,"67,86 triệu/m²"
88,4 phòng,32 m²,"84,38 triệu/m²"
89,3 phòng,55 m²,"54,55 triệu/m²"
90,4 phòng,38 m²,"65,79 triệu/m²"
91,4 phòng,38 m²,"131,58 triệu/m²"
92,5 phòng,49 m²,"80,61 triệu/m²"
93,4 phòng,113 m²,247.787 đ/m²
94,2 phòng,55 m²,60 triệu/m²
95,3 phòng,30 m²,"118,33 triệu/m²"
96,2 phòng,37 m²,"53,51 triệu/m²"
97,3 phòng,76 m²,"61,18 triệu/m²"
98,1 phòng,45 m²,"71,11 triệu/m²"
99,4 phòng,62 m²,"125,81 triệu/m²"
100,4 phòng,41 m²,"207,32 triệu/m²"
101,3 phòng,46 m²,"81,52 triệu/m²"
102,3 phòng,11 m²,"131,82 triệu/m²"
103,4 phòng,44 m²,"89,77 triệu/m²"
104,3 phòng,21 m²,100 triệu/m²
105,5 phòng,51 m²,"76,47 triệu/m²"
106,4 phòng,60 m²,"276,67 triệu/m²"
107,2 phòng,33 m²,"46,61 triệu/m²"
108,3 phòng,35 m²,"71,43 triệu/m²"
109,8 phòng,75 m²,"393,33 triệu/m²"
110,2 phòng,55 m²,"118,18 triệu/m²"
111,3 phòng,35 m²,"71,43 triệu/m²"
112,4 phòng,36 m²,"116,67 triệu/m²"
113,2 phòng,58 m²,"5,52 triệu/m²"
114,2 phòng,30 m²,"71,67 triệu/m²"
115,4 phòng,54 m²,200 triệu/m²
116,4 phòng,40 m²,70 triệu/m²
117,3 phòng,45 m²,"106,67 triệu/m²"
118,4 phòng,36 m²,"65,28 triệu/m²"
119,3 phòng,55 m²,"51,82 triệu/m²"
120,2 phòng,30 m²,60 triệu/m²
121,10 phòng,120 m²,"246,67 triệu/m²"
122,4 phòng,196 m²,"80,61 triệu/m²"
123,5 phòng,45 m²,"91,11 triệu/m²"
124,4 phòng,37 m²,"78,38 triệu/m²"
125,4 phòng,45 m²,"128,89 triệu/m²"
126,3 phòng,21 m²,"85,71 triệu/m²"
127,6 phòng,60 m²,125 triệu/m²
128,3 phòng,25 m²,96 triệu/m²
129,3 phòng,34 m²,"63,24 triệu/m²"
130,6 phòng,60 m²,"81,67 triệu/m²"
131,4 phòng,48 m²,"62,5 triệu/m²"
132,4 phòng,34 m²,"120,59 triệu/m²"
133,3 phòng,32 m²,"78,13 triệu/m²"
134,4 phòng,44 m²,"78,41 triệu/m²"
135,4 phòng,44 m²,50 triệu/m²
136,4 phòng,47 m²,"123,4 triệu/m²"
137,4 phòng,40 m²,50 triệu/m²
138,3 phòng,33 m²,"65,15 triệu/m²"
139,4 phòng,52 m²,"86,54 triệu/m²"
140,3 phòng,24 m²,"81,25 triệu/m²"
141,5 phòng,48 m²,"114,58 triệu/m²"
142,3 phòng,33 m²,"87,88 triệu/m²"
143,2 phòng,30 m²,"28,33 triệu/m²"
144,2 phòng,36 m²,"138,89 triệu/m²"
145,3 phòng,36 m²,"69,44 triệu/m²"
146,3 phòng,81 m²,"39,51 triệu/m²"
147,2 phòng,47 m²,"70,21 triệu/m²"
148,3 phòng,32 m²,"52,81 triệu/m²"
149,4 phòng,56 m²,"83,04 triệu/m²"
150,3 phòng,27 m²,"166,67 triệu/m²"
151,3 phòng,45 m²,"64,44 triệu/m²"
152,3 phòng,30 m²,95 triệu/m²
153,6 phòng,50 m²,90 triệu/m²
154,5 phòng,55 m²,"181,82 triệu/m²"
155,4 phòng,32 m²,"82,81 triệu/m²"
156,2 phòng,30 m²,"86,67 triệu/m²"
157,4 phòng,45 m²,"62,22 triệu/m²"
158,3 phòng,36 m²,"59,72 triệu/m²"
159,6 phòng,104 m²,"437,5 triệu/m²"
160,6 phòng,83 m²,"104,43 triệu/m²"
161,4 phòng,68 m²,"76,47 triệu/m²"
162,8 phòng,33 m²,"130,3 triệu/m²"
163,4 phòng,35 m²,"85,71 triệu/m²"
164,3 phòng,36 m²,"55,22 triệu/m²"
165,5 phòng,42 m²,150 triệu/m²
166,4 phòng,40 m²,"162,25 triệu/m²"
167,4 phòng,62 m²,75 triệu/m²
168,3 phòng,30 m²,70 triệu/m²
169,3 phòng,31 m²,"74,19 triệu/m²"
170,nhiều hơn 10 phòng,62 m²,"282,26 triệu/m²"
171,3 phòng,35 m²,"68,57 triệu/m²"
172,3 phòng,48 m²,"68,75 triệu/m²"
173,4 phòng,45 m²,"102,22 triệu/m²"
174,1 phòng,30 m²,1 đ/m²
175,3 phòng,48 m²,"68,75 triệu/m²"
176,3 phòng,60 m²,"86,67 triệu/m²"
177,4 phòng,31 m²,"112,9 triệu/m²"
178,4 phòng,55 m²,"81,82 triệu/m²"
179,5 phòng,45 m²,"111,11 triệu/m²"
180,4 phòng,40 m²,"187,5 triệu/m²"
181,4 phòng,36 m²,"80,56 triệu/m²"
182,3 phòng,55 m²,"54,55 triệu/m²"
183,4 phòng,60 m²,"83,33 triệu/m²"
184,3 phòng,32 m²,"87,5 triệu/m²"
185,4 phòng,46 m²,"108,26 triệu/m²"
186,3 phòng,36 m²,"76,39 triệu/m²"
187,4 phòng,50 m²,108 triệu/m²
188,4 phòng,50 m²,114 triệu/m²
189,2 phòng,45 m²,"122,22 triệu/m²"
190,4 phòng,60 m²,310 triệu/m²
191,2 phòng,35 m²,"82,86 triệu/m²"
192,4 phòng,44 m²,"163,64 triệu/m²"
193,6 phòng,60 m²,"483,33 triệu/m²"
194,3 phòng,30 m²,"93,33 triệu/m²"
195,5 phòng,36 m²,"72,22 triệu/m²"
196,2 phòng,65 m²,"52,31 triệu/m²"
197,2 phòng,34 m²,"45,82 triệu/m²"
198,4 phòng,64 m²,"82,03 triệu/m²"
199,4 phòng,50 m²,92 triệu/m²
200,4 phòng,31 m²,"88,71 triệu/m²"
201,4 phòng,30 m²,"51,67 triệu/m²"
202,5 phòng,32 m²,"85,94 triệu/m²"
203,3 phòng,48 m²,"68,75 triệu/m²"
204,6 phòng,47 m²,"101,06 triệu/m²"
205,5 phòng,55 m²,"68,18 triệu/m²"
206,2 phòng,58 m²,"71,55 triệu/m²"
207,4 phòng,42 m²,"154,76 triệu/m²"
208,4 phòng,32.1 m²,50 triệu/m²
209,3 phòng,60 m²,"41,67 triệu/m²"
210,5 phòng,38 m²,100 triệu/m²
211,3 phòng,45 m²,"166,67 triệu/m²"
212,2 phòng,42 m²,50 triệu/m²
213,2 phòng,30 m²,"81,67 triệu/m²"
214,4 phòng,49 m²,"97,96 triệu/m²"
215,3 phòng,81 m²,"37,04 triệu/m²"
216,6 phòng,185 m²,"583,78 triệu/m²"
217,3 phòng,32 m²,"83,75 triệu/m²"
218,3 phòng,32 m²,"56,25 triệu/m²"
219,4 phòng,37 m²,"116,22 triệu/m²"
220,4 phòng,40 m²,75 triệu/m²
221,5 phòng,61 m²,"116,39 triệu/m²"
222,4 phòng,48 m²,"179,17 triệu/m²"
223,3 phòng,48 m²,"68,75 triệu/m²"
224,3 phòng,35 m²,"75,71 triệu/m²"
225,4 phòng,38 m²,"103,95 triệu/m²"
226,3 phòng,30 m²,95 triệu/m²
227,3 phòng,35 m²,"87,14 triệu/m²"
228,4 phòng,35 m²,"62,86 triệu/m²"
229,2 phòng,23 m²,"82,61 triệu/m²"
230,3 phòng,34 m²,"94,12 triệu/m²"
231,4 phòng,50 m²,100 triệu/m²
232,5 phòng,38 m²,"101,32 triệu/m²"
233,4 phòng,33 m²,"77,27 triệu/m²"
234,4 phòng,40 m²,140 triệu/m²
235,4 phòng,41 m²,"73,17 triệu/m²"
236,2 phòng,48 m²,"45,83 triệu/m²"
237,2 phòng,30 m²,"98,33 triệu/m²"
238,4 phòng,38 m²,"93,42 triệu/m²"
239,6 phòng,92 m²,"146,74 triệu/m²"
240,3 phòng,27 m²,"85,19 triệu/m²"
241,4 phòng,45 m²,"86,67 triệu/m²"
242,3 phòng,48 m²,"62,5 triệu/m²"
243,4 phòng,50 m²,70 triệu/m²
244,3 phòng,35 m²,"84,29 triệu/m²"
245,4 phòng,30 m²,"91,67 triệu/m²"
246,4 phòng,55 m²,"50,91 triệu/m²"
247,3 phòng,48 m²,"65,63 triệu/m²"
248,2 phòng,47 m²,"92,55 triệu/m²"
249,3 phòng,47 m²,"102,13 triệu/m²"
250,4 phòng,32 m²,"84,38 triệu/m²"
251,3 phòng,37 m²,"83,78 triệu/m²"
252,8 phòng,83 m²,"154,22 triệu/m²"
253,4 phòng,52 m²,"90,38 triệu/m²"
254,4 phòng,43 m²,"90,7 triệu/m²"
255,5 phòng,61 m²,"154,1 triệu/m²"
256,3 phòng,40 m²,"97,5 triệu/m²"
257,3 phòng,35 m²,"97,14 triệu/m²"
258,4 phòng,46 m²,"63,04 triệu/m²"
259,4 phòng,85 m²,"108,24 triệu/m²"
260,4 phòng,56 m²,"81,25 triệu/m²"
261,2 phòng,55 m²,"54,55 triệu/m²"
262,4 phòng,50 m²,90 triệu/m²
263,4 phòng,30 m²,70 triệu/m²
264,3 phòng,42 m²,"140,48 triệu/m²"
265,3 phòng,25 m²,82 triệu/m²
266,3 phòng,30 m²,75 triệu/m²
267,4 phòng,37 m²,"67,57 triệu/m²"
268,4 phòng,36 m²,"73,61 triệu/m²"
269,4 phòng,47 m²,"82,98 triệu/m²"
270,3 phòng,30 m²,"86,67 triệu/m²"
271,4 phòng,36 m²,"144,44 triệu/m²"
272,6 phòng,35 m²,100 triệu/m²
273,4 phòng,60 m²,80 triệu/m²
274,3 phòng,55 m²,"54,55 triệu/m²"
275,5 phòng,55 m²,"125,45 triệu/m²"
276,3 phòng,44 m²,"56,82 triệu/m²"
277,6 phòng,50 m²,98 triệu/m²
278,4 phòng,44 m²,"154,55 triệu/m²"
279,3 phòng,30 m²,95 triệu/m²
280,4 phòng,37 m²,"67,57 triệu/m²"
281,6 phòng,68 m²,"97,06 triệu/m²"
282,4 phòng,43 m²,"63,95 triệu/m²"
283,3 phòng,42 m²,90.476 đ/m²
284,nhiều hơn 10 phòng,56 m²,"130,36 triệu/m²"
285,2 phòng,32 m²,"103,13 triệu/m²"
286,4 phòng,42 m²,"154,76 triệu/m²"
287,2 phòng,30.2 m²,"81,67 triệu/m²"
288,4 phòng,36 m²,"90,28 triệu/m²"
289,4 phòng,32 m²,"109,38 triệu/m²"
290,4 phòng,34 m²,"83,82 triệu/m²"
291,3 phòng,42 m²,"85,71 triệu/m²"
292,5 phòng,48 m²,"68,75 triệu/m²"
293,4 phòng,45 m²,"88,89 triệu/m²"
294,6 phòng,60 m²,"108,33 triệu/m²"
295,4 phòng,52 m²,"86,54 triệu/m²"
296,3 phòng,40 m²,100 triệu/m²
297,3 phòng,30 m²,"71,67 triệu/m²"
298,3 phòng,48 m²,"68,75 triệu/m²"
299,3 phòng,35 m²,56 triệu/m²
300,2 phòng,40 m²,65 triệu/m²
301,6 phòng,65 m²,"115,38 triệu/m²"
302,4 phòng,46 m²,100 triệu/m²
303,4 phòng,31 m²,"80,65 triệu/m²"
304,3 phòng,32 m²,"43,75 triệu/m²"
305,2 phòng,24 m²,"93,75 triệu/m²"
306,3 phòng,50 m²,42 triệu/m²
307,2 phòng,31 m²,100 triệu/m²
308,4 phòng,41 m²,"51,22 triệu/m²"
309,4 phòng,35 m²,"102,86 triệu/m²"
310,7 phòng,36 m²,"152,78 triệu/m²"
311,3 phòng,30 m²,90 triệu/m²
312,4 phòng,36 m²,"52,78 triệu/m²"
313,4 phòng,48 m²,"56,25 triệu/m²"
314,3 phòng,32 m²,"53,13 triệu/m²"
315,3 phòng,33 m²,"28,79 triệu/m²"
316,6 phòng,68 m²,"286,76 triệu/m²"
317,3 phòng,32 m²,"48,44 triệu/m²"
318,3 phòng,20 m²,"77,5 triệu/m²"
319,3 phòng,34 m²,"57,35 triệu/m²"
320,3 phòng,26 m²,"113,46 triệu/m²"
321,2 phòng,33 m²,"46,61 triệu/m²"
322,2 phòng,55 m²,"50,91 triệu/m²"
323,5 phòng,185 m²,200 triệu/m²
324,4 phòng,77 m²,"97,4 triệu/m²"
325,1 phòng,55 m²,"39,09 triệu/m²"
326,3 phòng,30 m²,"83,33 triệu/m²"
327,3 phòng,50 m²,66 triệu/m²
328,3 phòng,37 m²,"110,81 triệu/m²"
329,3 phòng,35 m²,68 triệu/m²
330,5 phòng,34 m²,"104,41 triệu/m²"
331,3 phòng,42 m²,"133,33 triệu/m²"
332,4 phòng,55 m²,160 triệu/m²
333,3 phòng,35 m²,"85,71 triệu/m²"
334,2 phòng,30 m²,40 triệu/m²
335,2 phòng,30 m²,"40,27 triệu/m²"
336,4 phòng,26 m²,"230,77 triệu/m²"
337,4 phòng,40 m²,105 triệu/m²
338,3 phòng,140 m²,178.571 đ/m²
339,2 phòng,42 m²,50 triệu/m²
340,4 phòng,31.5 m²,"96,13 triệu/m²"
341,3 phòng,85 m²,"89,41 triệu/m²"
342,5 phòng,56 m²,"133,93 triệu/m²"
343,3 phòng,165 m²,"49,09 triệu/m²"
344,4 phòng,31 m²,"69,35 triệu/m²"
345,3 phòng,25 m²,120 triệu/m²
346,2 phòng,20 m²,"62,5 triệu/m²"
347,4 phòng,56 m²,"160,71 triệu/m²"
348,3 phòng,31 m²,"66,13 triệu/m²"
349,4 phòng,63 m²,"87,3 triệu/m²"
350,3 phòng,39 m²,"98,72 triệu/m²"
351,6 phòng,60 m²,125.000 đ/m²
352,3 phòng,76 m²,"60,53 triệu/m²"
353,3 phòng,48 m²,"55,21 triệu/m²"
354,2 phòng,25 m²,68 triệu/m²
355,1 phòng,80 m²,"32,5 triệu/m²"
356,4 phòng,32 m²,"84,38 triệu/m²"
357,4 phòng,36 m²,"91,11 triệu/m²"
358,4 phòng,50 m²,73 triệu/m²
359,7 phòng,43 m²,100 triệu/m²
360,3 phòng,30 m²,"79,67 triệu/m²"
361,6 phòng,60 m²,125 triệu/m²
362,6 phòng,50 m²,210 triệu/m²
363,4 phòng,38 m²,"113,16 triệu/m²"
364,3 phòng,33 m²,"47,88 triệu/m²"
365,4 phòng,40 m²,100 triệu/m²
366,4 phòng,33 m²,"72,73 triệu/m²"
367,4 phòng,56 m²,"102,86 triệu/m²"
368,3 phòng,38 m²,40 triệu/m²
369,5 phòng,80 m²,"161,13 triệu/m²"
370,3 phòng,35 m²,68 triệu/m²
371,4 phòng,38 m²,"113,16 triệu/m²"
372,4 phòng,34 m²,"76,47 triệu/m²"
373,5 phòng,62 m²,"207,9 triệu/m²"
374,4 phòng,35 m²,"77,14 triệu/m²"
375,4 phòng,30 m²,75 triệu/m²
376,4 phòng,62 m²,"80,65 triệu/m²"
377,3 phòng,40 m²,"102,5 triệu/m²"
378,4 phòng,40 m²,50 triệu/m²
379,6 phòng,65 m²,"91,54 triệu/m²"
380,4 phòng,38 m²,"106,58 triệu/m²"
381,4 phòng,57 m²,"63,16 triệu/m²"
382,3 phòng,33 m²,"65,15 triệu/m²"
383,3 phòng,35 m²,"111,43 triệu/m²"
384,3 phòng,45 m²,"55,56 triệu/m²"
385,4 phòng,35 m²,"58,86 triệu/m²"
386,3 phòng,81 m²,"39,51 triệu/m²"
387,3 phòng,32 m²,"85,94 triệu/m²"
388,3 phòng,33 m²,"66,67 triệu/m²"
389,3 phòng,25 m²,80 triệu/m²
390,6 phòng,42 m²,"154,76 triệu/m²"
391,2 phòng,16 m²,"162,5 triệu/m²"
392,4 phòng,37 m²,"78,38 triệu/m²"
393,4 phòng,120 m²,"133,33 triệu/m²"
394,5 phòng,44 m²,"77,27 triệu/m²"
395,3 phòng,56 m²,"58,93 triệu/m²"
396,5 phòng,30 m²,"77,33 triệu/m²"
397,3 phòng,39 m²,"120,51 triệu/m²"
398,nhiều hơn 10 phòng,61 m²,"85,25 triệu/m²"
399,3 phòng,44 m²,"79,55 triệu/m²"
400,6 phòng,50 m²,96 triệu/m²
401,3 phòng,30 m²,"66,67 triệu/m²"
402,3 phòng,35 m²,"75,71 triệu/m²"
403,3 phòng,34 m²,"64,71 triệu/m²"
404,4 phòng,55 m²,"69,09 triệu/m²"
405,4 phòng,75 m²,"119,87 triệu/m²"
406,4 phòng,46 m²,"96,74 triệu/m²"
407,5 phòng,65 m²,"284,62 triệu/m²"
408,3 phòng,33 m²,"63,33 triệu/m²"
409,4 phòng,37 m²,"68,92 triệu/m²"
410,4 phòng,52 m²,"76,92 triệu/m²"
411,3 phòng,32 m²,"79,69 triệu/m²"
412,2 phòng,45 m²,"75,56 triệu/m²"
413,2 phòng,34 m²,"72,06 triệu/m²"
414,2 phòng,50 m²,330 triệu/m²
415,3 phòng,34 m²,"111,76 triệu/m²"
416,4 phòng,49 m²,"75,51 triệu/m²"
417,3 phòng,40 m²,40 triệu/m²
418,4 phòng,60 m²,"58,33 triệu/m²"
419,3 phòng,33 m²,"84,55 triệu/m²"
420,4 phòng,41 m²,"87,8 triệu/m²"
421,2 phòng,31 m²,"75,81 triệu/m²"
422,5 phòng,48 m²,100 triệu/m²
423,6 phòng,45 m²,"103,33 triệu/m²"
424,5 phòng,46 m²,"156,52 triệu/m²"
425,4 phòng,40 m²,70 triệu/m²
426,1 phòng,42 m²,"71,43 triệu/m²"
427,3 phòng,30 m²,"51,67 triệu/m²"
428,6 phòng,63 m²,"111,11 triệu/m²"
429,3 phòng,30 m²,"79,33 triệu/m²"
430,2 phòng,40 m²,"47,5 triệu/m²"
431,3 phòng,27 m²,"122,22 triệu/m²"
432,3 phòng,37 m²,"116,22 triệu/m²"
433,5 phòng,40 m²,75 triệu/m²
434,3 phòng,32 m²,"85,94 triệu/m²"
435,4 phòng,35 m²,80 triệu/m²
436,4 phòng,50 m²,146 triệu/m²
437,4 phòng,35 m²,"85,71 triệu/m²"
438,2 phòng,60 m²,50 triệu/m²
439,2 phòng,33 m²,"74,24 triệu/m²"
440,6 phòng,41 m²,"87,8 triệu/m²"
441,2 phòng,13 m²,"107,69 triệu/m²"
442,4 phòng,31 m²,"87,1 triệu/m²"
443,6 phòng,50 m²,96 triệu/m²
444,3 phòng,35 m²,"77,14 triệu/m²"
445,3 phòng,43 m²,"76,74 triệu/m²"
446,3 phòng,35 m²,"45,71 triệu/m²"
447,3 phòng,26 m²,"161,54 triệu/m²"
448,4 phòng,41 m²,"73,17 triệu/m²"
449,2 phòng,45 m²,"55,56 triệu/m²"
450,4 phòng,46 m²,75 triệu/m²
451,3 phòng,34 m²,"72,94 triệu/m²"
452,3 phòng,33 m²,"30,3 triệu/m²"
453,3 phòng,35 m²,"41,71 triệu/m²"
454,3 phòng,33 m²,"31,82 triệu/m²"
455,6 phòng,65 m²,"181,54 triệu/m²"
456,3 phòng,24 m²,"77,08 triệu/m²"
457,5 phòng,40 m²,"72,25 triệu/m²"
458,6 phòng,67 m²,"111,94 triệu/m²"
459,4 phòng,50 m²,78 triệu/m²
460,3 phòng,35 m²,68 triệu/m²
461,4 phòng,35.22 m²,"44,29 triệu/m²"
462,3 phòng,32 m²,"53,13 triệu/m²"
463,4 phòng,33 m²,"81,82 triệu/m²"
464,4 phòng,40 m²,"87,5 triệu/m²"
465,3 phòng,30 m²,70 triệu/m²
466,3 phòng,44 m²,"35,23 triệu/m²"
467,3 phòng,30 m²,"106,67 triệu/m²"
468,4 phòng,110 m²,"31,82 triệu/m²"
469,3 phòng,30 m²,"98,33 triệu/m²"
470,4 phòng,35 m²,"72,86 triệu/m²"
471,3 phòng,35 m²,"94,29 triệu/m²"
472,4 phòng,41 m²,"112,2 triệu/m²"
473,4 phòng,38 m²,"131,58 triệu/m²"
474,5 phòng,34 m²,"82,35 triệu/m²"
475,3 phòng,42 m²,"38,1 triệu/m²"
476,6 phòng,76 m²,"57,89 triệu/m²"
477,3 phòng,35 m²,"95,71 triệu/m²"
478,4 phòng,35 m²,"41,43 triệu/m²"
479,3 phòng,40 m²,"87,5 triệu/m²"
480,1 phòng,20 m²,70 triệu/m²
481,5 phòng,34 m²,"80,88 triệu/m²"
482,3 phòng,13 m²,"203,85 triệu/m²"
483,4 phòng,31 m²,"72,26 triệu/m²"
484,3 phòng,35 m²,"45,71 triệu/m²"
485,2 phòng,20 m²,125 triệu/m²
486,2 phòng,30 m²,"53,33 triệu/m²"
487,3 phòng,25 m²,100 triệu/m²
488,2 phòng,50 m²,80 triệu/m²
489,3 phòng,30 m²,120 triệu/m²
490,3 phòng,34 m²,"97,06 triệu/m²"
491,5 phòng,42 m²,"102,38 triệu/m²"
492,3 phòng,34 m²,"102,94 triệu/m²"
493,4 phòng,30 m²,"98,33 triệu/m²"
494,6 phòng,46 m²,"110,87 triệu/m²"
495,5 phòng,38 m²,"92,11 triệu/m²"
496,3 phòng,42 m²,"76,19 triệu/m²"
497,5 phòng,35 m²,"88,57 triệu/m²"
498,4 phòng,43 m²,"86,05 triệu/m²"
499,3 phòng,35 m²,"85,71 triệu/m²"
500,4 phòng,33 m²,"83,33 triệu/m²"
501,4 phòng,75 m²,"119,87 triệu/m²"
502,4 phòng,36 m²,"40,28 triệu/m²"
503,3 phòng,35.21 m²,"41,43 triệu/m²"
504,6 phòng,138 m²,"177,54 triệu/m²"
505,4 phòng,40 m²,"40,5 triệu/m²"
506,2 phòng,30 m²,"53,33 triệu/m²"
507,4 phòng,36 m²,"69,44 triệu/m²"
508,2 phòng,25 m²,100 triệu/m²
509,4 phòng,80 m²,175 triệu/m²
510,4 phòng,43 m²,"60,47 triệu/m²"
511,3 phòng,38 m²,"88,16 triệu/m²"
512,6 phòng,41 m²,"104,88 triệu/m²"
513,4 phòng,35 m²,40 triệu/m²
514,4 phòng,50 m²,136 triệu/m²
515,3 phòng,26 m²,"101,92 triệu/m²"
516,4 phòng,47 m²,"63,83 triệu/m²"
517,4 phòng,50 m²,104 triệu/m²
518,6 phòng,44 m²,"161,36 triệu/m²"
519,6 phòng,44 m²,"164,77 triệu/m²"
520,1 phòng,30 m²,"53,33 triệu/m²"
521,5 phòng,33 m²,"84,24 triệu/m²"
522,3 phòng,35 m²,"81,43 triệu/m²"
523,3 phòng,36 m²,"88,89 triệu/m²"
524,5 phòng,32 m²,"86,88 triệu/m²"
525,4 phòng,76 m²,"117,11 triệu/m²"
526,4 phòng,40 m²,"72,5 triệu/m²"
527,3 phòng,3 m²,810 triệu/m²
528,3 phòng,48 m²,"143,75 triệu/m²"
529,2 phòng,65 m²,102 triệu/m²
530,3 phòng,33 m²,"65,15 triệu/m²"
531,6 phòng,42 m²,175 triệu/m²
532,4 phòng,40 m²,75 triệu/m²
533,5 phòng,44 m²,"127,27 triệu/m²"
534,4 phòng,40.22 m²,"41,25 triệu/m²"
535,3 phòng,58 m²,"75,86 triệu/m²"
536,3 phòng,26 m²,"101,92 triệu/m²"
537,3 phòng,30 m²,"146,67 triệu/m²"
538,6 phòng,42 m²,"123,81 triệu/m²"
539,3 phòng,22 m²,"113,64 triệu/m²"
540,2 phòng,18 m²,"69,44 triệu/m²"
541,4 phòng,65 m²,"115,38 triệu/m²"
542,5 phòng,75 m²,"313,33 triệu/m²"
543,3 phòng,25 m²,96 triệu/m²
544,4 phòng,45 m²,64 triệu/m²
545,4 phòng,40 m²,75 triệu/m²
546,3 phòng,46 m²,"61,96 triệu/m²"
547,4 phòng,45 m²,"173,33 triệu/m²"
548,3 phòng,32 m²,"55,94 triệu/m²"
549,3 phòng,34 m²,"67,65 triệu/m²"
550,nhiều hơn 10 phòng,80 m²,"103,75 triệu/m²"
